wavelength,intensity
400.05,2.917e+12
400.41,3.849e+12
400.76,3.8658e+12
401.12,3.5286e+12
401.48,4.1302e+12
401.84,4.1302e+12
402.19,4.1302e+12
402.55,3.9093e+12
402.91,3.9093e+12
403.26,3.9093e+12
403.62,3.9093e+12
403.98,3.9093e+12
404.34,3.8942e+12
404.69,3.288e+12
405.05,3.288e+12
405.41,3.2903e+12
405.76,3.1757e+12
406.12,3.1757e+12
406.48,3.9457e+12
406.83,4.002e+12
407.19,4.002e+12
407.55,3.9457e+12
407.9,3.2248e+12
408.26,3.2822e+12
408.62,2.5121e+12
408.97,2.4512e+12
409.33,2.1972e+12
409.68,2.2582e+12
410.04,1.9204e+12
410.4,1.5129e+12
410.75,1.5129e+12
411.11,1.5393e+12
411.47,2.2582e+12
411.82,1.5393e+12
412.18,2.4333e+12
412.53,3.8285e+12
412.89,3.987e+12
413.25,3.8285e+12
413.6,3.987e+12
413.96,3.987e+12
414.31,4.3324e+12
414.67,5.3717e+12
415.03,4.3324e+12
415.38,4.3324e+12
415.74,4.1302e+12
416.09,4.5402e+12
416.45,2.359e+12
416.8,2.8967e+12
417.16,1.9505e+12
417.51,3.392e+12
417.87,3.392e+12
418.23,1.9505e+12
418.58,3.392e+12
418.94,4.9726e+12
419.29,5.1935e+12
419.65,3.6128e+12
420,5.2783e+12
420.36,5.2783e+12
420.71,5.2783e+12
421.07,4.1363e+12
421.42,2.9311e+12
421.78,3.0777e+12
422.13,2.516e+12
422.49,2.4955e+12
422.84,1.6637e+12
423.2,2.4955e+12
423.55,2.4955e+12
423.91,2.4955e+12
424.26,2.4955e+12
424.61,1.7752e+12
424.97,1.612e+12
425.32,6.0193e+11
425.68,3.7594e+11
426.03,3.7594e+11
426.39,1.8481e+12
426.74,3.7594e+11
427.1,2.4324e+11
427.45,2.4324e+11
427.8,2.4324e+11
428.16,2.4324e+11
428.51,1.1252e+12
428.87,2.2527e+12
429.22,2.2527e+12
429.58,2.2527e+12
429.93,1.1578e+12
430.28,1.1578e+12
430.64,2.2527e+12
430.99,1.1578e+12
431.35,1.1578e+12
431.7,1.9149e+12
432.05,1.159e+12
432.41,-1.8145e+10
432.76,1.159e+12
433.11,-1.8145e+10
433.47,-5.2855e+11
433.82,-1.1055e+12
434.17,-1.1055e+12
434.53,2.3363e+11
434.88,-1.1055e+12
435.24,-1.1055e+12
435.59,2.3363e+11
435.94,1.4356e+12
436.3,1.4356e+12
436.65,1.4356e+12
437,2.076e+12
437.35,2.4184e+12
437.71,2.3371e+12
438.06,2.4048e+12
438.41,2.4048e+12
438.77,2.4048e+12
439.12,2.4562e+12
439.47,2.3749e+12
439.83,1.8812e+12
440.18,1.8812e+12
440.53,1.8812e+12
440.88,1.8812e+12
441.24,1.2828e+12
441.59,9.2606e+11
441.94,9.2606e+11
442.3,7.3807e+11
442.65,-5.8127e+11
443,-9.4844e+11
443.35,-2.4032e+12
443.71,-1.5795e+12
444.06,-2.5102e+12
444.41,-2.5102e+12
444.76,-1.5795e+12
445.11,-6.3105e+11
445.47,3.6717e+11
445.82,1.3593e+12
446.17,2.8916e+12
446.52,3.825e+12
446.88,3.825e+12
447.23,3.825e+12
447.58,3.825e+12
447.93,3.825e+12
448.28,3.652e+12
448.63,3.5197e+12
448.99,2.7141e+12
449.34,2.1128e+12
449.69,3.9136e+11
450.04,3.9136e+11
450.39,1.5155e+12
450.74,1.5155e+12
451.1,9.6802e+11
451.45,3.129e+11
451.8,3.901e+11
452.15,3.901e+11
452.5,3.901e+11
452.85,3.901e+11
453.21,9.6802e+11
453.56,3.901e+11
453.91,2.6389e+10
454.26,2.6389e+10
454.61,2.6389e+10
454.96,8.1252e+11
455.31,3.2352e+11
455.66,1.8318e+12
456.01,2.4095e+12
456.36,1.8819e+12
456.72,1.0626e+11
457.07,1.0626e+11
457.42,1.0626e+11
457.77,1.5776e+12
458.12,1.5776e+12
458.47,1.0626e+11
458.82,1.5776e+12
459.17,-6.5851e+10
459.52,-6.5851e+10
459.87,-1.8466e+12
460.22,-3.9149e+11
460.57,1.8799e+12
460.92,2.2789e+12
461.27,2.0904e+12
461.62,7.4726e+11
461.97,2.0904e+12
462.32,2.0904e+12
462.67,3.2113e+12
463.02,3.2113e+12
463.38,4.0459e+12
463.73,3.2113e+12
464.08,3.0404e+12
464.43,3.0404e+12
464.78,4.0459e+12
465.12,4.0459e+12
465.47,3.1531e+12
465.82,1.3581e+12
466.17,4.4428e+11
466.52,1.2914e+12
466.87,4.4428e+11
467.22,3.1657e+11
467.57,3.1657e+11
467.92,2.4869e+11
468.27,2.4869e+11
468.62,3.1657e+11
468.97,6.4118e+11
469.32,1.3172e+12
469.67,1.3172e+12
470.02,1.3172e+12
470.37,1.3172e+12
470.72,2.3093e+12
471.07,1.9614e+12
471.42,1.9614e+12
471.76,1.8709e+12
472.11,1.3154e+12
472.46,6.6269e+11
472.81,-9.6551e+10
473.16,4.4387e+11
473.51,-1.8974e+11
473.86,-9.0149e+11
474.21,-1.081e+12
474.56,-9.0149e+11
474.9,-3.6107e+11
475.25,-3.6107e+11
475.6,-1.0932e+12
475.95,-8.0906e+11
476.3,-9.7315e+10
476.65,-8.0906e+11
477,-2.1986e+11
477.34,3.3323e+11
477.69,7.0804e+11
478.04,4.804e+11
478.39,-2.1986e+11
478.74,-5.0663e+11
479.09,-5.0663e+11
